criticality_model,Criticality_SCR,Cond_Score,condition_model,crit_model,cond_model,Condition_Score_Level
0,30,3,0,30,3,Medium
0,90,4,0,90,4,Moderately High
0,90,2,0,60,2,Moderately Low
0,120,3,0,150,4,Medium
0,30,3,0,30,3,Medium
0,30,3,0,0,4,Medium
0,30,3,0,30,4,Medium
0,30,3,0,60,4,Medium
0,210,4,0,240,5,Moderately High
0,210,3,0,210,3,Medium
0,210,5,0,210,5,Very High
0,210,3,0,240,3,Medium
0,210,5,0,210,5,Very High
0,210,3,0,210,2,Medium
0,120,5,0,120,4,Very High
0,120,4,0,120,4,Moderately High
0,120,3,0,120,3,Medium
0,120,4,0,120,4,Moderately High
0,210,2,0,180,2,Moderately Low
0,30,3,0,30,3,Medium
0,210,5,0,210,5,Very High
0,120,3,0,120,3,Medium
0,120,3,0,150,3,Medium
0,120,3,0,150,3,Medium
0,120,3,0,120,4,Medium
0,30,3,0,30,4,Medium
0,30,3,0,60,3,Medium
0,30,3,0,60,3,Medium
0,30,3,0,30,3,Medium
0,180,3,0,180,3,Medium
0,180,3,0,180,3,Medium
0,180,3,0,180,3,Medium
0,180,3,0,180,3,Medium
0,180,3,0,180,4,Medium
0,180,3,0,180,4,Medium
0,210,4,0,210,4,Moderately High
0,210,3,0,180,4,Medium
0,210,4,0,210,4,Moderately High
0,210,3,0,240,4,Medium
0,210,5,0,240,5,Very High
0,120,4,0,120,4,Moderately High
0,180,4,0,150,4,Moderately High
0,180,4,0,180,4,Moderately High
0,30,2,0,30,1,Moderately Low
0,30,4,0,60,5,Moderately High
0,30,3,0,30,3,Medium
0,30,3,0,30,2,Medium
0,30,3,0,60,2,Medium
0,210,4,0,240,3,Moderately High
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,2,Medium
0,210,2,0,210,2,Moderately Low
0,210,4,0,210,4,Moderately High
0,210,4,0,210,4,Moderately High
0,210,2,0,210,1,Moderately Low
0,210,2,0,180,1,Moderately Low
0,210,3,0,210,3,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,4,Medium
0,210,2,0,180,2,Moderately Low
0,30,3,0,60,3,Medium
0,120,2,0,90,2,Moderately Low
0,120,4,0,90,4,Moderately High
0,120,2,0,90,2,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,3,0,150,3,Medium
0,30,3,0,0,3,Medium
0,30,3,0,30,2,Medium
0,30,3,0,30,3,Medium
0,30,3,0,60,3,Medium
0,90,2,0,60,3,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,30,4,Medium
0,120,2,0,150,2,Moderately Low
0,120,2,0,120,1,Moderately Low
0,120,3,0,120,3,Medium
0,120,3,0,120,3,Medium
0,120,3,0,120,3,Medium
0,120,3,0,120,3,Medium
0,30,2,0,30,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,30,3,0,30,3,Medium
0,30,2,0,30,3,Moderately Low
0,120,3,0,90,3,Medium
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,90,2,0,90,3,Moderately Low
0,90,2,0,120,2,Moderately Low
0,90,2,0,120,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,3,0,60,3,Medium
0,30,2,0,30,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,3,0,120,3,Medium
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,90,5,0,60,5,Very High
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,0,1,Moderately Low
0,30,3,0,30,3,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,30,3,Medium
0,30,5,0,30,4,Very High
0,90,2,0,60,1,Moderately Low
0,90,2,0,60,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,210,1,Moderately Low
0,210,3,0,210,4,Medium
0,120,2,0,150,3,Moderately Low
0,120,2,0,150,2,Moderately Low
0,120,2,0,120,3,Moderately Low
0,120,2,0,90,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,3,0,30,4,Medium
0,30,2,0,30,2,Moderately Low
0,30,3,0,30,2,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,3,0,30,4,Medium
0,30,2,0,0,2,Moderately Low
0,30,3,0,60,3,Medium
0,30,2,0,0,1,Moderately Low
0,30,3,0,30,3,Medium
0,30,3,0,30,4,Medium
0,30,3,0,30,3,Medium
0,30,2,0,60,3,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,60,1,Moderately Low
0,210,4,0,210,4,Moderately High
0,210,3,0,240,3,Medium
0,210,2,0,180,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,180,4,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,240,2,Medium
0,210,2,0,210,3,Moderately Low
0,210,4,0,210,3,Moderately High
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,240,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,5,0,180,5,Very High
0,210,4,0,240,4,Moderately High
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,3,Moderately Low
0,210,1,0,210,1,Very Low
0,210,3,0,180,2,Medium
0,210,2,0,240,2,Moderately Low
0,210,3,0,180,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,1,Moderately Low
0,30,3,0,30,4,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,3,0,180,4,Medium
0,210,2,0,180,3,Moderately Low
0,210,3,0,180,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,3,0,210,2,Medium
0,210,3,0,180,3,Medium
0,210,2,0,180,3,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,60,4,Medium
0,120,3,0,90,3,Medium
0,120,2,0,90,1,Moderately Low
0,120,3,0,120,3,Medium
0,30,2,0,60,1,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,0,3,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,30,3,Medium
0,120,3,0,120,2,Medium
0,30,3,0,30,3,Medium
0,30,4,0,30,4,Moderately High
0,30,2,0,60,3,Moderately Low
0,30,3,0,30,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,30,3,0,30,3,Medium
0,120,3,0,90,3,Medium
0,120,2,0,90,1,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,3,0,0,2,Medium
0,30,4,0,30,4,Moderately High
0,120,3,0,90,3,Medium
0,120,3,0,120,4,Medium
0,120,3,0,120,3,Medium
0,120,3,0,150,3,Medium
0,30,2,0,30,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,180,3,Medium
0,210,2,0,210,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,30,2,0,30,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,240,1,Moderately Low
0,210,3,0,210,4,Medium
0,210,2,0,240,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,240,3,Medium
0,210,3,0,240,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,180,2,Medium
0,210,2,0,180,1,Moderately Low
0,90,2,0,90,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,3,0,30,3,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,5,0,30,5,Very High
0,30,4,0,30,5,Moderately High
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,150,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,90,3,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,3,0,120,3,Medium
0,120,2,0,120,2,Moderately Low
0,120,3,0,150,3,Medium
0,120,2,0,120,1,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,2,0,150,3,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,3,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,90,2,0,90,1,Moderately Low
0,90,2,0,60,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,120,2,Moderately Low
0,210,3,0,240,3,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,3,Moderately Low
0,120,3,0,120,4,Medium
0,120,2,0,120,2,Moderately Low
0,30,3,0,30,2,Medium
0,120,3,0,120,3,Medium
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,3,0,30,3,Medium
0,30,3,0,0,4,Medium
0,30,3,0,30,3,Medium
0,30,2,0,30,3,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,120,2,0,120,3,Moderately Low
0,30,3,0,30,4,Medium
0,30,2,0,30,2,Moderately Low
0,120,4,0,120,4,Moderately High
0,30,3,0,0,2,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,0,4,Medium
0,30,2,0,0,3,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,30,3,Medium
0,30,3,0,60,2,Medium
0,30,3,0,30,3,Medium
0,30,3,0,60,3,Medium
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,3,0,60,3,Medium
0,30,2,0,0,3,Moderately Low
0,30,2,0,60,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,210,4,Medium
0,210,3,0,210,2,Medium
0,210,1,0,180,2,Very Low
0,120,3,0,120,2,Medium
0,120,3,0,90,2,Medium
0,210,1,0,180,1,Very Low
0,90,2,0,120,2,Moderately Low
0,90,3,0,120,3,Medium
0,30,3,0,30,4,Medium
0,30,3,0,30,2,Medium
0,30,3,0,30,4,Medium
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,3,Moderately Low
0,30,2,0,0,2,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,2,0,120,1,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,150,2,Moderately Low
0,90,3,0,120,4,Medium
0,90,3,0,90,4,Medium
0,90,3,0,90,3,Medium
0,90,3,0,90,3,Medium
0,120,2,0,120,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,2,Moderately Low
0,120,3,0,150,4,Medium
0,120,3,0,120,3,Medium
0,90,2,0,90,3,Moderately Low
0,120,2,0,120,3,Moderately Low
0,120,2,0,120,3,Moderately Low
0,120,2,0,150,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,1,Moderately Low
0,120,2,0,150,3,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,1,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,60,2,Moderately Low
0,90,2,0,120,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,3,Moderately Low
0,90,2,0,90,1,Moderately Low
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,210,3,0,240,4,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,1,Moderately Low
0,30,3,0,30,2,Medium
0,30,3,0,60,2,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,3,0,30,3,Medium
0,30,3,0,30,3,Medium
0,120,3,0,150,3,Medium
0,90,2,0,90,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,4,0,240,5,Moderately High
0,210,3,0,210,2,Medium
0,210,4,0,210,4,Moderately High
0,30,2,0,60,2,Moderately Low
0,210,3,0,210,2,Medium
0,210,3,0,240,2,Medium
0,210,2,0,210,1,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,120,3,0,150,3,Medium
0,120,3,0,150,2,Medium
0,30,2,0,30,1,Moderately Low
0,30,2,0,30,3,Moderately Low
0,90,3,0,120,3,Medium
0,90,2,0,90,1,Moderately Low
0,90,2,0,60,2,Moderately Low
0,90,2,0,90,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,30,2,0,60,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,120,2,0,90,2,Moderately Low
0,120,2,0,90,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,3,0,210,3,Medium
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,3,0,0,4,Medium
0,210,4,0,210,4,Moderately High
0,210,2,0,210,3,Moderately Low
0,210,3,0,210,2,Medium
0,210,2,0,240,2,Moderately Low
0,30,3,0,30,2,Medium
0,30,2,0,30,1,Moderately Low
0,30,3,0,60,3,Medium
0,30,2,0,60,2,Moderately Low
0,120,3,0,120,4,Medium
0,30,2,0,30,2,Moderately Low
0,120,3,0,120,3,Medium
0,120,3,0,120,3,Medium
0,30,2,0,30,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,3,0,0,3,Medium
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,3,0,0,4,Medium
0,120,3,0,120,2,Medium
0,30,3,0,30,3,Medium
0,30,3,0,30,3,Medium
0,120,3,0,90,3,Medium
0,120,3,0,120,2,Medium
0,120,2,0,150,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,120,3,0,150,3,Medium
0,120,3,0,90,3,Medium
0,120,2,0,120,2,Moderately Low
0,120,3,0,120,3,Medium
0,210,3,0,240,2,Medium
0,210,3,0,180,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,180,4,Medium
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,4,0,210,3,Moderately High
0,210,3,0,240,3,Medium
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,2,0,180,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,3,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,2,0,240,3,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,5,0,210,5,Very High
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,120,3,0,120,3,Medium
0,120,2,0,120,2,Moderately Low
0,120,2,0,90,2,Moderately Low
0,30,3,0,30,4,Medium
0,120,2,0,120,3,Moderately Low
0,120,2,0,150,2,Moderately Low
0,120,4,0,150,3,Moderately High
0,120,3,0,120,3,Medium
0,120,2,0,120,1,Moderately Low
0,120,2,0,120,2,Moderately Low
0,120,4,0,120,4,Moderately High
0,30,2,0,60,1,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,3,0,30,4,Medium
0,30,3,0,30,3,Medium
0,30,3,0,30,3,Medium
0,30,3,0,30,3,Medium
0,30,3,0,30,3,Medium
0,30,3,0,0,3,Medium
0,30,3,0,30,4,Medium
0,30,2,0,30,3,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,1,Moderately Low
0,210,3,0,180,3,Medium
0,210,3,0,180,3,Medium
0,210,5,0,210,5,Very High
0,210,3,0,210,3,Medium
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,180,3,Medium
0,210,4,0,210,4,Moderately High
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,4,0,210,3,Moderately High
0,210,3,0,210,3,Medium
0,210,3,0,180,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,4,0,240,3,Moderately High
0,210,4,0,210,3,Moderately High
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,180,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,240,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,3,0,180,2,Medium
0,210,3,0,180,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,180,3,Medium
0,210,3,0,180,3,Medium
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,2,Medium
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,240,2,Moderately Low
0,210,2,0,180,1,Moderately Low
0,210,2,0,180,3,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,120,2,0,150,2,Moderately Low
0,210,2,0,210,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,3,0,30,4,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,3,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,3,0,180,4,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,3,0,210,3,Medium
0,210,2,0,240,3,Moderately Low
0,210,3,0,210,3,Medium
0,210,3,0,180,3,Medium
0,210,2,0,180,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,120,3,0,120,4,Medium
0,30,2,0,0,2,Moderately Low
0,120,3,0,150,2,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,3,Medium
0,120,2,0,120,2,Moderately Low
0,120,2,0,120,3,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,30,3,0,0,3,Medium
0,30,3,0,30,3,Medium
0,180,2,0,180,2,Moderately Low
0,30,2,0,30,3,Moderately Low
0,30,2,0,0,1,Moderately Low
0,30,2,0,0,2,Moderately Low
0,30,2,0,60,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,210,2,Medium
0,210,2,0,240,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,2,0,210,1,Moderately Low
0,210,3,0,210,2,Medium
0,210,3,0,240,3,Medium
0,210,3,0,210,2,Medium
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,240,2,Medium
0,210,3,0,240,3,Medium
0,30,2,0,30,2,Moderately Low
0,120,2,0,120,2,Moderately Low
0,30,3,0,30,2,Medium
0,30,3,0,60,3,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,1,Moderately Low
0,210,2,0,240,1,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,3,0,240,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,210,3,Medium
0,210,3,0,180,3,Medium
0,210,3,0,210,3,Medium
0,210,2,0,210,2,Moderately Low
0,210,4,0,210,4,Moderately High
0,210,3,0,240,3,Medium
0,30,3,0,60,3,Medium
0,210,3,0,210,2,Medium
0,210,3,0,180,2,Medium
0,30,2,0,30,2,Moderately Low
0,30,2,0,30,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,210,2,0,240,2,Moderately Low
0,210,2,0,210,2,Moderately Low
0,30,3,0,30,4,Medium
0,240,2,0,270,2,Moderately Low
0,270,2,0,240,2,Moderately Low
0,270,2,0,270,2,Moderately Low
0,270,2,0,270,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,210,2,Moderately Low
0,180,2,0,180,1,Moderately Low
0,270,2,0,270,2,Moderately Low
0,180,3,0,180,3,Medium
0,180,5,0,180,5,Very High
0,180,3,0,180,3,Medium
0,180,3,0,180,3,Medium
0,180,2,0,180,3,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,1,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,3,0,180,4,Medium
0,180,2,0,150,1,Moderately Low
0,180,3,0,180,3,Medium
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,270,3,0,270,4,Medium
0,270,3,0,270,3,Medium
0,150,3,0,150,3,Medium
0,180,2,0,210,3,Moderately Low
0,180,2,0,210,2,Moderately Low
0,180,2,0,180,1,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,5,0,180,5,Very High
0,180,2,0,210,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,210,1,Moderately Low
0,180,3,0,210,3,Medium
0,180,3,0,180,3,Medium
0,180,2,0,210,2,Moderately Low
0,180,2,0,180,1,Moderately Low
0,150,3,0,150,3,Medium
0,180,3,0,180,3,Medium
0,180,4,0,180,4,Moderately High
0,180,2,0,180,2,Moderately Low
0,270,3,0,240,3,Medium
0,270,2,0,240,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,150,2,Moderately Low
0,180,2,0,150,2,Moderately Low
0,180,2,0,180,2,Moderately Low
0,180,2,0,150,2,Moderately Low
0,180,2,0,210,2,Moderately Low
0,180,3,0,180,2,Medium
0,60,4,0,60,4,Moderately High
0,270,2,0,270,3,Moderately Low
